Date,Open,High,Low,Close,Volume,Name
2022-07-05,19.71,19.8366,19.1212,19.8366,2639,UBR
2022-07-06,19.77,19.945,18.9901,19.77,19424,UBR
2022-07-07,20.66,21.43,20.66,21.2106,5508,UBR
2022-07-08,21.31,21.7,21.1,21.51,59399,UBR
2022-07-11,20.31,20.3687,19.74,19.8052,15511,UBR
2022-07-12,19.05,19.7,19.05,19.3518,5028,UBR
2022-07-13,19.5,20.06,19.5,19.5457,15560,UBR
2022-07-14,18.54,18.64,18.06,18.55,16668,UBR
2022-07-15,18.37,19.01,18.18,19,4786,UBR
2022-07-18,19.48,19.85,18.95,19.07,9873,UBR
2022-07-19,19.26,19.7642,19.26,19.44,2090,UBR
2022-07-20,19.63,19.63,19.065,19.1013,3998,UBR
2022-07-21,18.7,19.1401,18.5,19.1401,1504,UBR
2022-07-22,19.62,19.62,19.06,19.06,3146,UBR
2022-07-25,19.9,20.82,19.9,20.66,7600,UBR
2022-07-26,20.72,21,20.64,20.64,2537,UBR
2022-07-27,21.065,22.17,21.065,22.1612,6524,UBR
2022-07-28,22.69,23.41,22.335,23.37,5687,UBR
2022-07-29,23.3,24.01,23.17,23.78,8678,UBR
2022-08-01,23.29,23.87,22.69,23.15,7436,UBR
2022-08-02,22.8,23.2499,22.31,22.81,12032,UBR
2022-08-03,22.25,22.9,22.18,22.8504,2900,UBR
2022-08-04,24.32,24.32,24.1314,24.1314,964,UBR
2022-08-05,24.13,25,24.13,24.8,3929,UBR
2022-08-08,25.87,26.5204,25.87,26.35,6410,UBR
2022-08-09,26.9,26.9,26.04,26.412,4948,UBR
2022-08-10,27.585,27.81,27.5656,27.5656,2799,UBR
2022-08-11,27.1,27.1467,26.38,26.6213,5153,UBR
2022-08-12,28.36,28.7407,28.36,28.5377,4059,UBR
2022-08-15,27.69,28.6386,27.52,28.6386,516,UBR
2022-08-16,28.36,28.48,28.19,28.44,1489,UBR
2022-08-17,28.36,28.36,27.94,28.1708,698,UBR
2022-08-18,28.03,28.36,27.95,28.36,5258,UBR
2022-08-19,26.997,27.01,26.72,26.94,5330,UBR
2022-08-22,26.071,26.94,26.07,26.7188,15107,UBR
2022-08-23,27.5,28.78,27.5,28.78,2711,UBR
2022-08-24,28.6499,28.96,28.5,28.6865,1155,UBR
2022-08-25,28.39,29.07,28.39,29.07,7478,UBR
2022-08-26,29,29.05,28.35,28.6149,1285,UBR
2022-08-29,28.25,29.38,28.25,29.1496,1602,UBR
2022-08-30,27.94,27.94,26.95,26.95,3835,UBR
2022-08-31,26.57,26.57,25.81,25.8795,1267,UBR
2022-09-01,24.871,25.88,24.871,25.87,2898,UBR
2022-09-02,26.28,26.3169,26.28,26.3169,1601,UBR
2022-09-06,25.34,25.34,25.26,25.26,2014,UBR
2022-09-07,25.3,25.8713,25.3,25.8713,996,UBR
2022-09-08,25.49,25.6705,25.49,25.6705,2041,UBR
2022-09-09,27.35,27.3569,27.31,27.3569,1057,UBR
2022-09-12,28.5,28.67,28.5,28.65,1850,UBR
2022-09-13,26.76,26.76,25.98,25.98,2358,UBR
2022-09-14,26.21,26.21,26.1672,26.1672,1147,UBR
2022-09-15,25.15,25.2613,25.15,25.2613,481,UBR
2022-09-16,24.27,24.6967,24.24,24.6967,1432,UBR
2022-09-19,26.76,26.9159,26.76,26.9159,673,UBR
2022-09-20,27.19,27.2945,27.19,27.2945,850,UBR
2022-09-21,26.945,27.33,26.72,26.8343,920,UBR
2022-09-22,27.73,28.53,27.73,28.5118,953,UBR
2022-09-23,25.45,25.6943,25.45,25.6943,2003,UBR
2022-09-26,24.29,24.29,23.2,23.453,3884,UBR
2022-09-27,23.9,23.94,23.095,23.22,6454,UBR
2022-09-28,23.23,23.65,23.23,23.4392,528,UBR
2022-09-29,22.76,22.7679,22.76,22.7679,398,UBR
2022-09-30,24.26,24.26,23.82,23.82,1878,UBR
2022-10-03,26.82,28.66,26.82,28.6,5877,UBR
2022-10-04,29.2,29.47,28.3,28.77,1727,UBR
2022-10-05,28.16,29.36,28.16,29.1673,3748,UBR
2022-10-06,29.6,29.6,29.08,29.33,2645,UBR
2022-10-07,28.83,28.89,28.3505,28.3505,2424,UBR
2022-10-10,28.2,28.4169,28.02,28.4169,2086,UBR
2022-10-11,27.91,27.91,26.8892,26.8892,669,UBR
2022-10-12,26.595,26.595,26.46,26.5518,1092,UBR
2022-10-13,26.4327,27,26.4327,26.8929,2485,UBR
2022-10-14,26.61,26.7126,25.01,25.01,4027,UBR
2022-10-17,26.25,26.79,26.25,26.2982,961,UBR
2022-10-18,26.85,27.5624,26.71,27.5624,1991,UBR
2022-10-19,27.45,27.88,27.45,27.8587,935,UBR
2022-10-20,28.3,29.18,28.3,28.8101,1879,UBR
2022-10-21,29.18,31.39,29.18,31.3,4831,UBR
2022-10-24,28.8,28.8,27.2,27.2314,2434,UBR
2022-10-25,26.3667,26.3667,26.3667,26.3667,617,UBR
2022-10-26,25.8153,25.8153,25.02,25.1887,5742,UBR
2022-10-27,26.215,27.6,26.215,26.562,1876,UBR
2022-10-28,25.89,26.27,25.65,26.27,10098,UBR
2022-10-31,25.65,28.349,25.34,28.34,20985,UBR
2022-11-01,28.09,29.809,27.7324,29.153,10411,UBR
2022-11-02,28.63,28.63,27.27,27.27,6473,UBR
2022-11-03,27.59,29.03,27.59,28.8603,5966,UBR
2022-11-04,30.89,31.4239,30.11,30.11,11649,UBR
2022-11-07,29.96,29.96,27.494,27.5487,4006,UBR
2022-11-08,27.9611,28.5289,27.85,28.1563,1989,UBR
2022-11-09,27.79,27.91,26.26,26.48,2681,UBR
2022-11-10,24.2,24.2,22.12,22.62,22387,UBR
2022-11-11,23.82,25.3616,23.82,24.35,8184,UBR
2022-11-14,24.42,25.4491,24.35,24.94,6823,UBR
2022-11-15,26,26,24.64,24.9007,3041,UBR
2022-11-16,23.0922,23.0922,22.78,22.79,3688,UBR
2022-11-17,21.53,22.7,21.3,22.52,8233,UBR
2022-11-18,22.93,22.93,22.5849,22.5849,4006,UBR
2022-11-21,23.25,23.53,23.22,23.485,1183,UBR
2022-11-22,23.32,23.32,22.4902,22.4902,1289,UBR
2022-11-23,22.15,22.82,22.15,22.74,1767,UBR
2022-11-25,23.21,23.52,22.53,22.778,3877,UBR
2022-11-28,22.61,22.77,22.61,22.71,1198,UBR
2022-11-29,23.78,24.48,23.78,24.17,6435,UBR
2022-11-30,24.75,25.5948,24.09,25.5948,1156,UBR
2022-12-01,25.73,25.73,25.1676,25.1676,1016,UBR
2022-12-02,25.66,25.66,25.05,25.05,4169,UBR
2022-12-05,24.1,24.1,23.4698,23.4698,1039,UBR
2022-12-06,23.92,24.5,23.8,24.33,8714,UBR
2022-12-07,24.0588,24.0588,24.0588,24.0588,182,UBR
2022-12-08,24.11,24.11,23.0599,23.0599,2783,UBR
2022-12-09,22.8601,23.15,22.8601,23.0209,1197,UBR
2022-12-12,21.28,21.82,20.73,21.7392,8466,UBR
2022-12-13,22.03,22.25,20.58,20.7448,5487,UBR
2022-12-14,20.18,20.94,19.76,20.69,17582,UBR
2022-12-15,20.56,20.594,20.56,20.594,1051,UBR
2022-12-16,20.6,20.6,20.388,20.388,472,UBR
2022-12-19,20.4,21.2121,20.4,21.2121,1785,UBR
2022-12-20,22.45,23.119,22.45,22.854,6350,UBR
2022-12-21,22.66,23.0766,22.66,23.0766,623,UBR
2022-12-22,23,23.55,23,23.3499,720,UBR
2022-12-23,24.79,24.79,24.38,24.4132,1176,UBR
2022-12-27,22.49,22.8291,22.49,22.8291,10869,UBR
2022-12-28,23.406,24.035,23.4,23.83,9810,UBR
2022-12-29,24.5,24.5,23.181,23.3406,3457,UBR
2022-12-30,23.07,23.07,22.82,22.8878,2204,UBR
2023-01-03,20.94,20.94,19.29,19.54,8328,UBR
2023-01-04,19.36,20.0902,19.36,20.0902,3279,UBR
2023-01-05,20.74,21.7,20.74,21.6164,3285,UBR
2023-01-06,22.7,23.38,22.7,23.38,4302,UBR
2023-01-09,22.46,23.17,22.46,22.68,2407,UBR
2023-01-10,23.25,24.02,23.25,24.02,1139,UBR
2023-01-11,24.3,25.1052,24.3,25.1052,2108,UBR
2023-01-12,24.434,26,24.434,25.29,21333,UBR
2023-01-13,25.11,25.29,25.03,25.1902,6070,UBR
2023-01-17,24.47,25.3532,24.47,25.3532,452,UBR
2023-01-18,25.98,26.28,24.83,24.83,6349,UBR
2023-01-19,24.83,25.21,24.5517,25.2067,7662,UBR
2023-01-20,24.2819,24.74,24.2819,24.6816,3231,UBR
2023-01-23,24.51,25.115,24.31,24.44,5316,UBR
2023-01-24,24.85,25.5,24.85,25.463,6890,UBR
2023-01-25,25.4,26.69,25.4,26.6543,4280,UBR
2023-01-26,26.58,26.875,26.58,26.875,1868,UBR
2023-01-27,26.32,26.32,25.43,25.7,9737,UBR
2023-01-30,25.7,25.7,25.3311,25.3311,518,UBR
2023-01-31,26.07,26.35,26,26.35,11386,UBR
2023-02-01,25.9531,25.98,24.67,25.7108,2472,UBR
2023-02-02,26.51,26.51,24.672,24.7495,7873,UBR
2023-02-03,24.1035,24.1035,23.25,23.5014,1440,UBR
2023-02-06,22.51,23.2412,22.51,23.2412,4496,UBR
2023-02-07,23.015,23.015,22.3899,22.6072,4852,UBR
2023-02-08,23.06,23.64,22.81,23.369,2858,UBR
2023-02-09,22.395,22.61,21.998,22.0605,5060,UBR
2023-02-10,22.19,22.78,22.1,22.78,3946,UBR
2023-02-13,23.29,23.35,23.12,23.3045,1057,UBR
2023-02-14,23.11,23.11,22.5483,22.79,8447,UBR
2023-02-15,22.72,23.37,22.72,23.1,1299,UBR
2023-02-16,22.67,23.3822,22.67,23.3822,667,UBR
2023-02-17,23,23.63,23,23.4796,761,UBR
2023-02-21,23.07,23.07,22.7665,22.7665,503,UBR
2023-02-22,22.42,22.5933,22.42,22.5933,253,UBR
2023-02-23,22.84,23.195,22.84,23.1949,1064,UBR
2023-02-24,21.7324,21.7372,21.5225,21.7372,484,UBR
2023-02-27,21.75,22.07,21.6868,21.6868,561,UBR
2023-02-28,21.2099,21.2099,21.2041,21.2041,1036,UBR
2023-03-01,21.3488,21.3488,21.3488,21.3488,118,UBR
2023-03-02,20.785,21.15,20.7102,20.7102,1533,UBR
2023-03-03,21.0701,21.0701,20.9883,20.9883,498,UBR
2023-03-06,20.85,21.6841,20.85,21.67,3065,UBR
2023-03-07,21.64,21.64,20.915,21.1003,794,UBR
2023-03-08,21.93,22.52,21.93,22.39,1241,UBR
2023-03-09,22,22.27,21.5974,21.5974,2514,UBR
2023-03-10,21.25,21.25,20.4011,20.5787,3484,UBR
2023-03-13,20.08,20.5322,19.85,19.92,2764,UBR
2023-03-14,20.6,20.6,19.9925,19.9925,581,UBR
2023-03-15,19.15,19.649,19.14,19.3962,2793,UBR
2023-03-16,19.74,20.2251,19.74,20.2251,795,UBR
2023-03-17,19.2821,19.5533,19.2821,19.5533,826,UBR
2023-03-20,19.37,19.4451,19.2401,19.2992,2837,UBR
2023-03-21,19.438,19.493,19.3479,19.3479,926,UBR
2023-03-22,19.0691,19.4649,19,19.1,835,UBR
2023-03-23,18.759,18.759,17.662,17.8577,2383,UBR
2023-03-24,17.8808,18.5635,17.81,18.3792,2755,UBR
2023-03-27,18.695,19.03,18.695,18.9831,978,UBR
2023-03-28,19.695,20.01,19.673,19.8725,3499,UBR
2023-03-29,19.88,20.3189,19.65,20.3189,2108,UBR
2023-03-30,21.3,21.3667,21.16,21.3667,2048,UBR
2023-03-31,21.56,21.61,20.58,20.8372,3056,UBR
2023-04-03,20.4755,20.6932,20.46,20.6932,1498,UBR
2023-04-04,20.765,21.2182,20.638,20.71,2274,UBR
2023-04-05,20.79,20.92,20.2,20.58,4695,UBR
2023-04-06,20.4016,20.4016,20.4016,20.4016,210,UBR
2023-04-10,20.65,20.7617,20.65,20.7617,471,UBR
2023-04-11,22.29,23.01,22.29,22.9664,5828,UBR
2023-04-12,24,24.52,23.77,23.8516,17192,UBR
2023-04-13,24.05,24.05,23.7192,23.7192,2074,UBR
2023-04-14,23.29,23.79,23.29,23.7752,1602,UBR
2023-04-17,23.315,23.5327,23.315,23.5327,615,UBR
2023-04-18,23.17,23.2157,23.17,23.2157,290,UBR
2023-04-19,21.612,21.612,21.21,21.2827,3193,UBR
2023-04-20,21.72,21.72,21.59,21.5945,485,UBR
2023-04-21,21.2499,21.2499,20.96,21.1287,383,UBR
2023-04-24,21.536,21.536,21.536,21.536,116,UBR
2023-04-25,20.75,20.9397,20.75,20.9397,1283,UBR
2023-04-26,20.8,20.8,20.6947,20.6947,1317,UBR
2023-04-27,21.01,21.4928,21.01,21.4928,1906,UBR
